" ""topic"" "," ""labID"" "," ""resource"" "
" ""http://dbpedia.org/resource/1_2_3_4_(Plain_White_T's_song)"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/4_3_2_1_(LL_Cool_J_song)"""," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Anaconda"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Banana"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Boolean_data_type"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Clang"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Comparison_of_integrated_development_environments"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Concordia_University"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Data_structure"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Data_type"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/File_archiver"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Functional_programming"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Git"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Grapefruit"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Hash_table"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/ITER"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Instance_variable"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Java_virtual_machine"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Library"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/List_comprehension"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Microsoft_Windows"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Object-oriented_programming"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Pear"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Pineapple"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Polygon"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Programming_language"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Pythonidae"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Rhombus"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Safari_Books_Online"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Stanford_University"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Static_variable"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Tidbits"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Unix"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Labs/lab01.pdf"" "
" ""http://dbpedia.org/resource/Artificial_intelligence"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Bill_Gates"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Brown_Corpus"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Business_intelligence"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Canada"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Concordia_University"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
" ""http://dbpedia.org/resource/Cosine_similarity"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Labs/lab10.pdf"" "
