" ""topic"" "," ""lectureID"" "," ""resource"" ",,
" ""http://dbpedia.org/resource/World_Wide_Web_Consortium"" "," ""1"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides01.pdf"" ",,
" ""http://dbpedia.org/resource/Activation_function"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Artificial_intelligence"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Artificial_neural_network"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Association_football"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Backpropagation"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Banana"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Berlin"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Cat"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Claude_Monet"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Computational_geometry"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Concordia_University"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Cosine_similarity"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Diabetes_mellitus"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Dog"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Dot_product"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Economics"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Elvis_Presley"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Exclusive_or"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/Facebook"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
" ""http://dbpedia.org/resource/FastText"" "," ""10"" "," ""http://localhost:3030/University/COMP6741/Lectures/slides10.pdf"" ",,
