CourseId,Identifier,ContentType,Content
40355,1,LAB ,/University/COMP6741/Labs/lab01.pdf
40355,2,LAB ,/University/COMP6741/Labs/lab02.pdf
40355,3,LAB ,/University/COMP6741/Labs/lab03.pdf
40355,4,LAB ,/University/COMP6741/Labs/lab04.pdf
40355,5,LAB ,/University/COMP6741/Labs/lab05.pdf
40355,6,LAB ,/University/COMP6741/Labs/lab06.pdf
40355,7,LAB ,/University/COMP6741/Labs/lab07.pdf
40355,8,LAB ,/University/COMP6741/Labs/lab08.pdf
40355,9,LAB ,/University/COMP6741/Labs/lab09.pdf
40355,10,LAB ,/University/COMP6741/Labs/lab10.pdf
40355,11,LAB ,/University/COMP6741/Labs/lab11.pdf
40355,12,LAB ,/University/COMP6741/Labs/lab12.pdf
40353,1,LAB ,/University/COMP6721/Labs/lab01.pdf
40353,2,LAB ,/University/COMP6721/Labs/lab02.pdf
40353,3,LAB ,/University/COMP6721/Labs/lab03.pdf
40353,4,LAB ,/University/COMP6721/Labs/lab04.pdf
40353,5,LAB ,/University/COMP6721/Labs/lab05.pdf
40353,6,LAB ,/University/COMP6721/Labs/lab06.pdf
40353,7,LAB ,/University/COMP6721/Labs/lab07.pdf
40353,8,LAB ,/University/COMP6721/Labs/lab08.pdf
40353,9,LAB ,/University/COMP6721/Labs/lab09.pdf
40353,10,LAB ,/University/COMP6721/Labs/lab10.pdf
40353,11,LAB ,/University/COMP6721/Labs/lab11.pdf
40353,12,LAB ,/University/COMP6721/Labs/lab12.pdf
